num_elements,max_occupancy,min_occupancy
10,2,0
10,2,0
10,2,0
10,2,0
50,2,0
50,2,0
50,2,0
50,2,0
100,2,0
100,2,0
100,2,0
100,2,0
500,2,0
500,2,0
500,2,0
500,2,0
750,2,0
750,2,0
750,2,0
750,2,0
1000,2,0
1000,2,0
1000,2,0
1000,2,0
5000,2,0
5000,3,0
5000,2,0
5000,2,0
7500,2,0
7500,2,0
7500,2,0
7500,3,0
10000,2,0
10000,2,0
10000,2,0
10000,2,0
50000,3,0
50000,3,0
50000,3,0
50000,2,0
75000,2,0
75000,3,0
75000,3,0
75000,3,0
100000,2,0
100000,3,0
100000,3,0
100000,3,0
500000,3,0
500000,3,0
500000,3,0
500000,3,0
750000,3,0
750000,3,0
750000,3,0
750000,3,0
1000000,3,0
1000000,3,0
1000000,3,0
1000000,3,0
