num_elements,max_occupancy,min_occupancy
10,2,0
10,2,0
10,3,0
10,2,0
50,5,0
50,3,0
50,3,0
50,4,0
100,4,0
100,5,0
100,4,0
100,4,0
500,5,0
500,5,0
500,5,0
500,4,0
750,5,0
750,6,0
750,5,0
750,5,0
1000,6,0
1000,6,0
1000,5,0
1000,5,0
5000,7,0
5000,6,0
5000,6,0
5000,6,0
7500,6,0
7500,7,0
7500,6,0
7500,6,0
10000,7,0
10000,7,0
10000,6,0
10000,6,0
50000,9,0
50000,8,0
50000,7,0
50000,7,0
75000,7,0
75000,9,0
75000,8,0
75000,7,0
100000,8,0
100000,9,0
100000,8,0
100000,8,0
500000,9,0
500000,8,0
500000,8,0
500000,8,0
750000,8,0
750000,10,0
750000,9,0
750000,8,0
1000000,9,0
1000000,9,0
1000000,8,0
1000000,9,0
